country_region,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,7_day_lagged_retail_and_recreation,7_day_lagged_grocery_and_pharmacy,7_day_lagged_parks,7_day_lagged_transit_stations,7_day_lagged_workplaces,7_day_lagged_residential,new_cases_smoothed,new_deaths_smoothed,new_tests_smoothed,population,pop density,median_age,aged_65_older,aged_70_older
United Kingdom,2020-02-15,-12,-7,-35,-12,-4,2,,,,,,,0.714,0,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-02-16,-7,-6,-28,-7,-3,1,,,,,,,0.571,0,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-02-17,10,1,24,-2,-14,2,,,,,,,0.714,0,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-02-18,7,-1,20,-3,-14,2,,,,,,,0.571,0,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-02-19,6,-2,8,-4,-14,3,,,,,,,0.571,0,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-02-20,5,-2,4,-5,-14,3,,,,,,,0.714,0,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-02-21,5,-1,10,-3,-15,3,,,,,,,0.714,0,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-02-22,-4,-2,-7,-2,-2,1,1.5,-2.83333333333333,-1.16666666666667,-5.5,-10.5,2.16666666666667,0.714,0,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-02-23,-1,-2,-5,3,-1,0,4.33333333333333,-1.83333333333333,6.33333333333333,-4,-12.3333333333333,2.33333333333333,1.429,0,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-02-24,-3,-1,-9,-2,-2,1,4.83333333333333,-1.16666666666667,9.83333333333333,-3.16666666666667,-12.1666666666667,2.33333333333333,1.571,0,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-02-25,-1,4,3,1,1,0,3,-1.66666666666667,5,-2.33333333333333,-10,2,2.143,0,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-02-26,1,0,6,-1,1,0,1.33333333333333,-1.66666666666667,0.166666666666667,-2.16666666666667,-8,1.83333333333333,2.429,0,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-02-27,2,1,8,0,0,0,0.166666666666667,-0.666666666666667,-0.666666666666667,-1.33333333333333,-5.5,1.33333333333333,3.143,0,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-02-28,1,1,-13,0,-1,1,-0.5,-0.333333333333333,-0.333333333333333,-0.666666666666667,-3,0.833333333333333,4.714,0,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-02-29,1,1,-14,-2,0,0,-1,0,-0.666666666666667,-0.166666666666667,-0.5,0.333333333333333,5.429,0,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-03-01,7,2,14,5,1,-1,-0.166666666666667,0.5,-1.66666666666667,0.166666666666667,-0.333333333333333,0.333333333333333,9.429,0,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-03-02,4,4,14,0,1,0,0.166666666666667,1,-3.16666666666667,-0.666666666666667,-0.166666666666667,0.333333333333333,14.857,0,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-03-03,2,3,11,-1,1,0,1.83333333333333,1.5,0.666666666666667,0.5,0.333333333333333,0,22.143,0,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-03-04,2,3,2,-2,1,1,2.66666666666667,1.5,2.5,0.333333333333333,0.333333333333333,0,29.857,0,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-03-05,-1,2,1,-3,0,1,2.83333333333333,2,3.33333333333333,0.333333333333333,0.333333333333333,0,35.857,0,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-03-06,5,6,22,1,1,0,2.83333333333333,2.33333333333333,2.33333333333333,0,0.5,0.166666666666667,45.429,0.143,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-03-07,0,2,7,-1,1,0,2.5,2.5,4.66666666666667,-0.5,0.666666666666667,0.166666666666667,52.571,0.286,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-03-08,4,2,15,2,1,-1,3.16666666666667,3.33333333333333,10.6666666666667,0,0.833333333333333,0.166666666666667,55.571,0.286,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-03-09,0,4,4,-3,0,1,2,3.33333333333333,9.5,-1,0.833333333333333,0.333333333333333,70.857,0.429,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-03-10,-2,5,4,-4,0,1,2,3,9.66666666666667,-0.666666666666667,0.833333333333333,0.166666666666667,100,1,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-03-11,0,5,10,-6,0,1,1.66666666666667,3.16666666666667,8.5,-1,0.666666666666667,0.333333333333333,150.714,1,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-03-12,-1,11,5,-8,-1,2,1,3.5,8.83333333333333,-1.33333333333333,0.5,0.333333333333333,213.571,1.286,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-03-13,-2,11,12,-9,-4,2,1.16666666666667,4,10.3333333333333,-1.83333333333333,0.5,0.333333333333333,270.857,1.286,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-03-14,-10,7,1,-15,-2,2,0.166666666666667,4.83333333333333,7.5,-3.33333333333333,0.166666666666667,0.666666666666667,315,3.857,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-03-15,-11,7,-1,-16,-4,2,-0.166666666666667,6.33333333333333,8.33333333333333,-4.66666666666667,-0.666666666666667,1,370.571,5.857,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-03-16,-3,20,29,-16,-9,4,-2.5,7.16666666666667,6,-7.5,-1.16666666666667,1.5,437.429,9,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-03-17,-15,21,6,-27,-16,7,-4.33333333333333,7.66666666666667,5.16666666666667,-9.66666666666667,-1.83333333333333,1.66666666666667,510.429,10.857,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-03-18,-21,22,-3,-34,-23,10,-4.5,10.1666666666667,9.33333333333333,-11.6666666666667,-3.33333333333333,2.16666666666667,595.286,15.857,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-03-19,-21,24,2,-37,-27,11,-7,12.8333333333333,8.66666666666667,-15.1666666666667,-6,3.16666666666667,677.714,22.143,,67886004,272.898,40.8,18.517,12.527
United Kingdom,2020-03-20,-28,10,6,-40,-29,13,-10.3333333333333,14.6666666666667,7.33333333333333,-19.5,-9.66666666666667,4.5,788.857,26.571,,67886004,272.898,40.8,18.517,12.527
