Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
01-Feb-2020,11939,12017.35,11633.3,11661.85,537634767,20598.12
03-Feb-2020,11627.45,11749.85,11614.5,11707.9,669815788,25415.26
04-Feb-2020,11786.25,11986.15,11783.4,11979.65,560430291,22338.5
05-Feb-2020,12005.85,12098.15,11953.35,12089.15,758032580,22998.05
06-Feb-2020,12120,12160.6,12084.65,12137.95,565116236,21735.92
07-Feb-2020,12151.15,12154.7,12073.95,12098.35,473475144,16339.61
10-Feb-2020,12102.35,12103.55,11990.75,12031.5,525674715,17185.14
11-Feb-2020,12108.4,12172.3,12099,12107.9,480491557,16209.52
12-Feb-2020,12151,12231.75,12144.3,12201.2,412399174,16598.33
13-Feb-2020,12219.55,12225.65,12139.8,12174.65,501510138,16315.27
14-Feb-2020,12190.15,12246.7,12091.2,12113.45,623053270,20759.51
17-Feb-2020,12131.8,12159.6,12037,12045.8,455412408,15439.55
18-Feb-2020,12028.25,12030.75,11908.05,11992.5,677307424,18853
19-Feb-2020,12090.6,12134.7,12042.1,12125.9,514030605,17610.89
20-Feb-2020,12119,12152,12071.45,12080.85,502875583,18831.51
24-Feb-2020,12012.55,12012.55,11813.4,11829.4,491224913,19421.04
25-Feb-2020,11877.5,11883.05,11779.9,11797.9,461349973,18510.82
26-Feb-2020,11738.55,11783.25,11639.6,11678.5,567990976,21887.07
27-Feb-2020,11661.25,11663.85,11536.7,11633.3,609266324,21623.47
28-Feb-2020,11382,11384.8,11175.05,11201.75,810523106,32297.15
02-Mar-2020,11387.35,11433,11036.25,11132.75,681148567,24204.55
03-Mar-2020,11217.55,11342.25,11152.55,11303.3,696919348,23281.2
04-Mar-2020,11351.35,11356.6,11082.15,11251,798021596,26928.46
05-Mar-2020,11306.05,11389.5,11244.6,11269,1353209029,26980.65
06-Mar-2020,10942.65,11035.1,10827.4,10989.45,1811564187,26455.29
09-Mar-2020,10742.05,10751.55,10294.45,10451.45,1566119057,35151.79
11-Mar-2020,10334.3,10545.1,10334,10458.4,1219079693,32548.47
12-Mar-2020,10039.95,10040.75,9508,9590.15,1344263317,39283.97
13-Mar-2020,9107.6,10159.4,8555.15,9955.2,1389061775,44167.89
16-Mar-2020,9587.8,9602.2,9165.1,9197.4,898523271,29181.8
17-Mar-2020,9285.4,9403.8,8915.6,8967.05,936185892,28004.16
18-Mar-2020,9088.45,9127.55,8407.05,8468.8,1517275761,39256.71
19-Mar-2020,8063.3,8575.45,7832.55,8263.45,926508824,34274.23
20-Mar-2020,8284.45,8883,8178.2,8745.45,1072263600,37321.25
23-Mar-2020,7945.7,8159.25,7583.6,7610.25,654151814,23891.9
24-Mar-2020,7848.3,8036.95,7511.1,7801.05,739354439,28282.09
25-Mar-2020,7735.15,8376.75,7714.75,8317.85,738114713,28482.01
26-Mar-2020,8451,8749.05,8304.9,8641.45,866534643,32228.31
27-Mar-2020,8949.1,9038.9,8522.9,8660.25,801923401,31336.86
30-Mar-2020,8385.95,8576,8244,8281.1,593953051,24724.44
31-Mar-2020,8529.35,8678.3,8358,8597.75,713390935,27401.3
01-Apr-2020,8584.1,8588.1,8198.35,8253.8,507509685,21307.3
03-Apr-2020,8356.55,8356.55,8055.8,8083.8,697752438,26561.18
07-Apr-2020,8446.3,8819.4,8360.95,8792.2,815245226,35206.69
08-Apr-2020,8688.9,9131.7,8653.9,8748.75,897562690,37641.68
09-Apr-2020,8973.05,9128.35,8904.55,9111.9,743036134,32907.82
13-Apr-2020,9103.95,9112.05,8912.4,8993.85,644468815,26749.06
15-Apr-2020,9196.4,9261.2,8874.1,8925.3,880159358,41878.64
16-Apr-2020,8851.25,9053.75,8821.9,8992.8,720116479,31318.29
17-Apr-2020,9323.45,9324,9091.35,9266.75,684910520,33334.73
20-Apr-2020,9390.2,9390.85,9230.8,9261.85,726364699,28620.91
21-Apr-2020,9016.95,9044.4,8909.4,8981.45,655122903,28273.89
