,sub_region_1,Date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
0,Andaman and Nicobar Islands,2020-02-15,1.0,-9.0,4.0,-2.0,5.0,2.0
1,Andaman and Nicobar Islands,2020-02-16,0.0,-6.0,0.0,2.5,2.5,2.0
2,Andaman and Nicobar Islands,2020-02-17,-1.5,2.0,3.0,1.0,6.5,1.5
3,Andaman and Nicobar Islands,2020-02-18,-3.0,12.0,-5.0,-2.0,3.5,2.5
4,Andaman and Nicobar Islands,2020-02-19,-6.0,9.0,-6.0,1.5,3.5,1.5
5,Andaman and Nicobar Islands,2020-02-20,-3.0,-4.0,2.5,-2.0,1.5,1.0
6,Andaman and Nicobar Islands,2020-02-21,-1.5,-9.0,0.5,1.5,-8.0,4.5
7,Andaman and Nicobar Islands,2020-02-22,-5.0,-16.0,1.0,-3.0,-0.5,1.5
8,Andaman and Nicobar Islands,2020-02-23,-6.0,-6.0,-6.0,1.0,2.5,3.0
9,Andaman and Nicobar Islands,2020-02-24,-4.0,-19.0,-4.0,6.5,4.5,1.0
10,Andaman and Nicobar Islands,2020-02-25,-2.5,-2.0,-5.0,2.5,3.0,2.0
11,Andaman and Nicobar Islands,2020-02-26,-6.0,-14.0,-5.0,0.5,3.0,0.5
12,Andaman and Nicobar Islands,2020-02-27,-5.0,-14.0,-7.0,-1.0,2.5,0.5
13,Andaman and Nicobar Islands,2020-02-28,-3.0,-21.0,-13.0,-0.5,6.0,1.0
14,Andaman and Nicobar Islands,2020-02-29,-1.5,-19.0,-4.5,-4.5,5.0,1.0
15,Andaman and Nicobar Islands,2020-03-01,-8.5,-15.0,-22.333333333333332,-8.0,-1.0,2.0
16,Andaman and Nicobar Islands,2020-03-02,-3.0,-17.0,-3.0,-3.5,7.5,0.5
17,Andaman and Nicobar Islands,2020-03-03,-13.5,-18.0,-7.0,-6.5,4.0,2.0
18,Andaman and Nicobar Islands,2020-03-04,-8.0,-14.0,-1.0,-1.0,4.5,2.5
19,Andaman and Nicobar Islands,2020-03-05,-7.0,-20.0,0.5,-0.5,4.5,1.5
20,Andaman and Nicobar Islands,2020-03-06,-8.5,-25.0,-3.5,-0.5,4.5,2.0
21,Andaman and Nicobar Islands,2020-03-07,-14.5,-26.0,-3.5,-6.5,5.5,1.0
22,Andaman and Nicobar Islands,2020-03-08,-17.5,-15.0,-22.333333333333332,-8.0,-2.5,3.0
23,Andaman and Nicobar Islands,2020-03-09,-8.0,-17.0,1.5,-3.0,-16.666666666666668,2.0
