Date,State,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,new cases
2021-01-01,Andaman and Nicobar Islands,-4.0,,-13.0,50.0,16.0,14.0,1
2021-01-01,Andhra Pradesh,-7.0,65.0,42.0,9.0,-12.0,18.0,326
2021-01-01,Arunachal Pradesh,-57.0,-32.0,40.0,-40.0,-43.0,11.0,0
2021-01-01,Assam,10.0,33.0,163.0,15.0,8.0,15.0,40
2021-01-01,Bihar,1.0,59.0,250.0,47.0,-11.0,19.0,463
2021-01-01,Chandigarh,-24.0,-12.0,-35.0,-25.0,-32.0,11.0,51
2021-01-01,Chhattisgarh,8.0,53.0,88.0,56.0,-9.0,16.0,932
2021-01-01,Dadra and Nagar Haveli,-28.0,71.0,11.0,79.0,-16.0,13.0,0
2021-01-01,Daman and Diu,-10.0,30.0,53.0,51.0,-19.0,15.0,0
2021-01-01,Delhi,-15.0,37.0,-27.0,12.0,-28.0,16.0,585
2021-01-01,Goa,-3.0,14.0,27.0,5.0,-35.0,15.0,69
2021-01-01,Gujarat,18.0,42.0,55.0,11.0,2.0,20.0,734
2021-01-01,Haryana,3.0,36.0,4.0,44.0,-3.0,20.0,286
2021-01-01,Himachal Pradesh,90.0,85.0,143.0,76.0,1.0,19.0,193
2021-01-01,Jammu and Kashmir,250.0,417.0,346.0,520.0,173.0,16.0,256
2021-01-01,Jharkhand,-11.0,82.0,85.0,27.0,-25.0,20.0,128
2021-01-01,Karnataka,9.0,134.0,159.0,36.0,-2.0,17.0,877
2021-01-01,Kerala,-17.0,46.0,59.0,39.0,-4.0,20.0,4991
2021-01-01,Lakshadweep,,,62.0,,-10.0,,0
2021-01-01,Madhya Pradesh,14.0,111.0,129.0,57.0,5.0,18.0,780
2021-01-01,Maharashtra,10.0,87.0,74.0,44.0,8.0,20.0,3524
2021-01-01,Manipur,-30.0,-2.0,197.0,0.0,-20.0,16.0,18
2021-01-01,Meghalaya,-51.0,-50.0,91.0,28.0,-42.0,19.0,0
2021-01-01,Mizoram,-59.0,-69.0,-10.0,-58.0,-47.0,21.0,12
2021-01-01,Nagaland,-62.0,-70.0,10.0,-43.0,-19.0,17.0,2
2021-01-01,Odisha,14.0,38.0,81.0,37.0,-9.0,21.0,245
2021-01-01,Puducherry,-12.0,44.0,51.0,15.0,-29.0,19.0,32
2021-01-01,Punjab,-12.0,52.0,19.0,-11.0,-10.0,15.0,248
2021-01-01,Rajasthan,13.0,62.0,30.0,59.0,10.0,22.0,609
2021-01-01,Sikkim,25.0,35.0,112.0,23.0,-42.0,17.0,12
2021-01-01,Tamil Nadu,4.0,95.0,106.0,41.0,-15.0,22.0,921
2021-01-01,Telangana,-18.0,56.0,24.0,0.0,-18.0,20.0,461
2021-01-01,Tripura,-6.0,18.0,66.0,60.0,4.0,13.0,4
2021-01-01,Uttar Pradesh,34.0,90.0,134.0,53.0,12.0,20.0,1786
2021-01-01,Uttarakhand,44.0,50.0,188.0,73.0,20.0,19.0,361
2021-01-01,West Bengal,6.0,40.0,77.0,14.0,-12.0,17.0,1153
